# MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,STIFFNES
# %,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM
1.330000000000000071e+01,4.000000000000000083e-02,3.000000000000000000e+00,1.405300000000000000e+04,6.750000000000000000e+02,1.010000000000000000e+02,5.839999999999999858e+01,2.195781250000000909e+03
1.200000000000000000e+01,1.600000000000000033e-01,2.500000000000000000e+00,2.061100000000000000e+04,4.740000000000000000e+02,1.000000000000000000e+02,7.434999999999999432e+01,3.252998737373738095e+03
1.280000000000000071e+01,1.400000000000000133e-01,3.879999999999999893e+00,1.884600000000000000e+04,5.960000000000000000e+02,9.900000000000000000e+01,4.982000000000000028e+01,3.004783163265306484e+03
1.169999999999999929e+01,1.300000000000000044e-01,2.020000000000000018e+00,1.858700000000000000e+04,5.820000000000000000e+02,1.000000000000000000e+02,7.851999999999999602e+01,2.933554292929293752e+03
1.200000000000000000e+01,1.600000000000000033e-01,2.129999999999999893e+00,1.929900000000000000e+04,6.780000000000000000e+02,1.000000000000000000e+02,7.931000000000000227e+01,3.045928030303030937e+03
1.240000000000000036e+01,4.000000000000000083e-02,2.979999999999999982e+00,2.169500000000000000e+04,5.950000000000000000e+02,1.000000000000000000e+02,6.434000000000000341e+01,3.424084595959596754e+03
1.250000000000000000e+01,3.200000000000000067e-01,3.669999999999999929e+00,1.652300000000000000e+04,5.920000000000000000e+02,1.000000000000000000e+02,5.818999999999999773e+01,2.607796717171717773e+03
1.150000000000000000e+01,7.000000000000000666e-02,3.669999999999999929e+00,1.833300000000000000e+04,6.340000000000000000e+02,1.010000000000000000e+02,8.839000000000000057e+01,2.864531250000000909e+03
1.309999999999999964e+01,1.900000000000000022e-01,2.439999999999999947e+00,1.862800000000000000e+04,5.920000000000000000e+02,1.010000000000000000e+02,3.302000000000000313e+01,2.910625000000000909e+03
1.169999999999999929e+01,2.500000000000000000e-01,3.000000000000000000e+00,1.568300000000000000e+04,5.400000000000000000e+02,1.010000000000000000e+02,6.028000000000000114e+01,2.450468750000000909e+03
1.319999999999999929e+01,2.000000000000000111e-01,3.750000000000000000e+00,1.849600000000000000e+04,6.050000000000000000e+02,1.000000000000000000e+02,9.185999999999999943e+01,2.919191919191919624e+03
1.190000000000000036e+01,1.100000000000000006e-01,1.959999999999999964e+00,1.979200000000000000e+04,6.460000000000000000e+02,1.010000000000000000e+02,8.187999999999999545e+01,3.092500000000000909e+03
1.230000000000000071e+01,2.999999999999999889e-02,2.399999999999999911e+00,2.009800000000000000e+04,6.180000000000000000e+02,1.010000000000000000e+02,9.101999999999999602e+01,3.140312500000000909e+03
1.240000000000000036e+01,5.999999999999999778e-02,2.390000000000000124e+00,1.560000000000000000e+04,6.240000000000000000e+02,1.010000000000000000e+02,8.129999999999999716e+01,2.437500000000000909e+03
1.309999999999999964e+01,2.999999999999999889e-02,2.229999999999999982e+00,1.806500000000000000e+04,5.890000000000000000e+02,1.010000000000000000e+02,6.707999999999999829e+01,2.822656250000000909e+03
1.400000000000000000e+01,4.000000000000000083e-02,4.280000000000000249e+00,1.488300000000000000e+04,6.100000000000000000e+02,1.000000000000000000e+02,4.840999999999999659e+01,2.348958333333333940e+03
1.259999999999999964e+01,7.000000000000000666e-02,2.810000000000000053e+00,1.128200000000000000e+04,6.140000000000000000e+02,1.020000000000000000e+02,5.553999999999999915e+01,1.745358910891089636e+03
1.200000000000000000e+01,2.000000000000000111e-01,3.180000000000000160e+00,1.573100000000000000e+04,6.200000000000000000e+02,1.000000000000000000e+02,7.554999999999999716e+01,2.482796717171717773e+03
1.209999999999999964e+01,5.000000000000000278e-02,2.020000000000000018e+00,1.887800000000000000e+04,5.810000000000000000e+02,9.800000000000000000e+01,7.967000000000000171e+01,3.040914948453608758e+03
1.230000000000000071e+01,7.000000000000000666e-02,2.390000000000000124e+00,1.419900000000000000e+04,6.420000000000000000e+02,1.010000000000000000e+02,7.048999999999999488e+01,2.218593750000000909e+03
1.250000000000000000e+01,1.499999999999999944e-01,2.410000000000000142e+00,1.911900000000000000e+04,5.490000000000000000e+02,1.000000000000000000e+02,8.037000000000000455e+01,3.017518939393939945e+03
1.250000000000000000e+01,1.799999999999999933e-01,2.060000000000000053e+00,1.946700000000000000e+04,6.700000000000000000e+02,1.000000000000000000e+02,8.684999999999999432e+01,3.072443181818182438e+03
1.309999999999999964e+01,1.400000000000000133e-01,2.770000000000000018e+00,1.734300000000000000e+04,5.970000000000000000e+02,1.010000000000000000e+02,6.000999999999999801e+01,2.709843750000000909e+03
1.309999999999999964e+01,2.800000000000000266e-01,3.649999999999999911e+00,1.506900000000000000e+04,5.640000000000000000e+02,1.000000000000000000e+02,5.527000000000000313e+01,2.378314393939394449e+03
1.219999999999999929e+01,3.099999999999999978e-01,3.060000000000000053e+00,1.472800000000000000e+04,5.920000000000000000e+02,9.900000000000000000e+01,7.496999999999999886e+01,2.348214285714286234e+03
1.230000000000000071e+01,1.600000000000000033e-01,3.479999999999999982e+00,1.470700000000000000e+04,5.430000000000000000e+02,1.000000000000000000e+02,5.903000000000000114e+01,2.321180555555556111e+03
1.259999999999999964e+01,5.999999999999999778e-02,1.639999999999999902e+00,1.760200000000000000e+04,6.120000000000000000e+02,1.000000000000000000e+02,7.798999999999999488e+01,2.778093434343435092e+03
1.259999999999999964e+01,1.300000000000000044e-01,2.180000000000000160e+00,1.870000000000000000e+04,6.560000000000000000e+02,1.000000000000000000e+02,6.520000000000000284e+01,2.951388888888889596e+03
1.250000000000000000e+01,1.000000000000000056e-01,3.919999999999999929e+00,1.546900000000000000e+04,7.870000000000000000e+02,1.000000000000000000e+02,6.096999999999999886e+01,2.441445707070707613e+03
1.280000000000000071e+01,1.499999999999999944e-01,2.419999999999999929e+00,1.910900000000000000e+04,6.630000000000000000e+02,1.000000000000000000e+02,8.028000000000000114e+01,3.015940656565657264e+03
1.309999999999999964e+01,8.000000000000000167e-02,3.520000000000000018e+00,1.283500000000000000e+04,7.060000000000000000e+02,1.030000000000000000e+02,7.014000000000000057e+01,1.966145833333333485e+03
1.230000000000000071e+01,8.999999999999999667e-02,2.919999999999999929e+00,1.513000000000000000e+04,6.860000000000000000e+02,1.020000000000000000e+02,7.567000000000000171e+01,2.340655940594060212e+03
1.200000000000000000e+01,2.099999999999999922e-01,4.790000000000000036e+00,1.866600000000000000e+04,6.540000000000000000e+02,1.020000000000000000e+02,8.595000000000000284e+01,2.887685643564357179e+03
1.280000000000000071e+01,1.400000000000000133e-01,3.069999999999999840e+00,1.572700000000000000e+04,5.940000000000000000e+02,1.010000000000000000e+02,1.015300000000000011e+02,2.457343750000000909e+03
1.219999999999999929e+01,1.199999999999999956e-01,2.089999999999999858e+00,1.724000000000000000e+04,6.580000000000000000e+02,1.020000000000000000e+02,8.206000000000000227e+01,2.667079207920792669e+03
1.280000000000000071e+01,0.000000000000000000e+00,2.450000000000000178e+00,1.435500000000000000e+04,6.630000000000000000e+02,1.020000000000000000e+02,7.273999999999999488e+01,2.220761138613862386e+03
1.240000000000000036e+01,1.600000000000000033e-01,4.599999999999999645e+00,1.555100000000000000e+04,6.110000000000000000e+02,9.900000000000000000e+01,6.595999999999999375e+01,2.479432397959184073e+03
1.180000000000000071e+01,1.199999999999999956e-01,3.779999999999999805e+00,1.865200000000000000e+04,5.820000000000000000e+02,1.000000000000000000e+02,6.787000000000000455e+01,2.943813131313132089e+03
1.159999999999999964e+01,2.800000000000000266e-01,2.620000000000000107e+00,2.049400000000000000e+04,6.210000000000000000e+02,9.800000000000000000e+01,4.088000000000000256e+01,3.301224226804124100e+03
1.180000000000000071e+01,7.000000000000000666e-02,3.240000000000000213e+00,1.998200000000000000e+04,6.410000000000000000e+02,1.000000000000000000e+02,6.928000000000000114e+01,3.153724747474748256e+03
1.150000000000000000e+01,8.000000000000000167e-02,2.180000000000000160e+00,1.211000000000000000e+04,5.060000000000000000e+02,1.010000000000000000e+02,7.703000000000000114e+01,1.892187500000000455e+03
1.190000000000000036e+01,3.400000000000000244e-01,2.720000000000000195e+00,1.140000000000000000e+04,5.960000000000000000e+02,1.000000000000000000e+02,4.222999999999999687e+01,1.799242424242424477e+03
1.200000000000000000e+01,2.800000000000000266e-01,4.219999999999999751e+00,1.469500000000000000e+04,5.110000000000000000e+02,1.020000000000000000e+02,4.847999999999999687e+01,2.273360148514852426e+03
1.269999999999999929e+01,1.100000000000000006e-01,4.259999999999999787e+00,1.221500000000000000e+04,5.520000000000000000e+02,1.010000000000000000e+02,3.053999999999999915e+01,1.908593750000000455e+03
1.209999999999999964e+01,2.899999999999999800e-01,2.830000000000000071e+00,1.267400000000000000e+04,5.650000000000000000e+02,1.010000000000000000e+02,4.878999999999999915e+01,1.980312500000000455e+03
1.219999999999999929e+01,5.300000000000000266e-01,3.930000000000000160e+00,9.134000000000000000e+03,5.640000000000000000e+02,1.010000000000000000e+02,2.860000000000000142e+01,1.427187500000000455e+03
1.190000000000000036e+01,2.399999999999999911e-01,2.089999999999999858e+00,1.394100000000000000e+04,6.070000000000000000e+02,1.030000000000000000e+02,6.161999999999999744e+01,2.135569852941177032e+03
1.200000000000000000e+01,5.899999999999999689e-01,4.519999999999999574e+00,1.151100000000000000e+04,5.550000000000000000e+02,1.020000000000000000e+02,3.046000000000000085e+01,1.780785891089109327e+03
1.259999999999999964e+01,3.300000000000000155e-01,2.700000000000000178e+00,1.468500000000000000e+04,5.790000000000000000e+02,1.000000000000000000e+02,5.956000000000000227e+01,2.317708333333333940e+03
1.300000000000000000e+01,2.099999999999999922e-01,3.669999999999999929e+00,1.212700000000000000e+04,5.540000000000000000e+02,1.010000000000000000e+02,5.047999999999999687e+01,1.894843750000000455e+03
1.180000000000000071e+01,4.000000000000000222e-01,4.349999999999999645e+00,1.466900000000000000e+04,5.730000000000000000e+02,1.000000000000000000e+02,5.339999999999999858e+01,2.315183080808081286e+03
1.190000000000000036e+01,3.900000000000000133e-01,5.129999999999999893e+00,1.174300000000000000e+04,5.200000000000000000e+02,1.000000000000000000e+02,4.796000000000000085e+01,1.853377525252525629e+03
1.240000000000000036e+01,2.500000000000000000e-01,2.970000000000000195e+00,1.107800000000000000e+04,5.170000000000000000e+02,1.010000000000000000e+02,4.660999999999999943e+01,1.730937500000000455e+03
1.190000000000000036e+01,5.000000000000000000e-01,2.830000000000000071e+00,1.268600000000000000e+04,4.680000000000000000e+02,1.050000000000000000e+02,5.392000000000000171e+01,1.905949519230769511e+03
1.219999999999999929e+01,1.900000000000000022e-01,2.500000000000000000e+00,1.102500000000000000e+04,5.830000000000000000e+02,1.040000000000000000e+02,3.092999999999999972e+01,1.672481796116505166e+03
1.319999999999999929e+01,5.000000000000000278e-02,5.049999999999999822e+00,1.447800000000000000e+04,5.070000000000000000e+02,1.010000000000000000e+02,6.495000000000000284e+01,2.262187500000000909e+03
1.209999999999999964e+01,1.000000000000000056e-01,5.879999999999999893e+00,9.602000000000000000e+03,5.090000000000000000e+02,1.040000000000000000e+02,5.322999999999999687e+01,1.456614077669903054e+03
1.190000000000000036e+01,2.800000000000000266e-01,3.580000000000000071e+00,1.222400000000000000e+04,5.520000000000000000e+02,1.010000000000000000e+02,5.246000000000000085e+01,1.910000000000000455e+03
1.269999999999999929e+01,1.000000000000000056e-01,3.549999999999999822e+00,1.467500000000000000e+04,5.790000000000000000e+02,1.010000000000000000e+02,6.440000000000000568e+01,2.292968750000000909e+03
1.380000000000000071e+01,5.000000000000000278e-02,3.620000000000000107e+00,9.818000000000000000e+03,5.610000000000000000e+02,1.030000000000000000e+02,5.632000000000000028e+01,1.503982843137255031e+03
1.219999999999999929e+01,2.999999999999999889e-01,3.069999999999999840e+00,1.111500000000000000e+04,5.240000000000000000e+02,1.010000000000000000e+02,4.750000000000000000e+01,1.736718750000000455e+03
1.230000000000000071e+01,2.500000000000000000e-01,4.830000000000000071e+00,1.270000000000000000e+04,4.720000000000000000e+02,1.020000000000000000e+02,2.662000000000000099e+01,1.964727722772277730e+03
1.200000000000000000e+01,3.300000000000000155e-01,2.890000000000000124e+00,1.139000000000000000e+04,4.840000000000000000e+02,1.030000000000000000e+02,4.945000000000000284e+01,1.744791666666666742e+03
1.330000000000000071e+01,2.000000000000000111e-01,2.790000000000000036e+00,1.320800000000000000e+04,5.740000000000000000e+02,1.030000000000000000e+02,4.802000000000000313e+01,2.023284313725490392e+03
1.280000000000000071e+01,1.700000000000000122e-01,3.540000000000000036e+00,1.332400000000000000e+04,5.020000000000000000e+02,1.030000000000000000e+02,7.350000000000000000e+01,2.041053921568627629e+03
1.300000000000000000e+01,1.799999999999999933e-01,4.679999999999999716e+00,1.284800000000000000e+04,4.900000000000000000e+02,1.020000000000000000e+02,4.875000000000000000e+01,1.987623762376238119e+03
1.280000000000000071e+01,1.900000000000000022e-01,4.360000000000000320e+00,9.858000000000000000e+03,4.930000000000000000e+02,1.010000000000000000e+02,3.585999999999999943e+01,1.540312500000000455e+03
1.190000000000000036e+01,3.800000000000000044e-01,4.900000000000000355e+00,1.123500000000000000e+04,4.850000000000000000e+02,1.020000000000000000e+02,3.402000000000000313e+01,1.738087871287129246e+03
1.209999999999999964e+01,3.099999999999999978e-01,4.679999999999999716e+00,1.060000000000000000e+04,5.140000000000000000e+02,1.010000000000000000e+02,4.732999999999999829e+01,1.656250000000000455e+03
1.280000000000000071e+01,1.499999999999999944e-01,2.220000000000000195e+00,1.626500000000000000e+04,6.870000000000000000e+02,1.020000000000000000e+02,6.751999999999999602e+01,2.516243811881188776e+03
1.230000000000000071e+01,5.100000000000000089e-01,3.779999999999999805e+00,1.645100000000000000e+04,5.960000000000000000e+02,1.020000000000000000e+02,3.946000000000000085e+01,2.545018564356436400e+03
1.280000000000000071e+01,2.099999999999999922e-01,4.139999999999999680e+00,1.254400000000000000e+04,5.650000000000000000e+02,1.020000000000000000e+02,4.340999999999999659e+01,1.940594059405940925e+03
1.209999999999999964e+01,3.599999999999999867e-01,3.720000000000000195e+00,1.275700000000000000e+04,5.790000000000000000e+02,1.010000000000000000e+02,3.875999999999999801e+01,1.993281250000000455e+03
1.200000000000000000e+01,3.300000000000000155e-01,4.750000000000000000e+00,1.341600000000000000e+04,5.780000000000000000e+02,1.020000000000000000e+02,3.677000000000000313e+01,2.075495049504951112e+03
1.250000000000000000e+01,5.799999999999999600e-01,3.359999999999999876e+00,1.296900000000000000e+04,5.380000000000000000e+02,1.010000000000000000e+02,4.414999999999999858e+01,2.026406250000000455e+03
1.330000000000000071e+01,3.400000000000000244e-01,2.910000000000000142e+00,1.371800000000000000e+04,6.000000000000000000e+02,1.020000000000000000e+02,5.946000000000000085e+01,2.122215346534653690e+03
1.259999999999999964e+01,3.200000000000000067e-01,2.209999999999999964e+00,1.500900000000000000e+04,5.550000000000000000e+02,1.010000000000000000e+02,5.460999999999999943e+01,2.345156250000000909e+03
1.340000000000000036e+01,1.700000000000000122e-01,3.680000000000000160e+00,8.659000000000000000e+03,5.290000000000000000e+02,1.010000000000000000e+02,4.882000000000000028e+01,1.352968750000000455e+03
1.230000000000000071e+01,2.500000000000000000e-01,3.250000000000000000e+00,1.443100000000000000e+04,4.880000000000000000e+02,1.010000000000000000e+02,4.631000000000000227e+01,2.254843750000000909e+03
1.269999999999999929e+01,1.799999999999999933e-01,2.700000000000000178e+00,1.470200000000000000e+04,5.700000000000000000e+02,1.000000000000000000e+02,6.929999999999999716e+01,2.320391414141414771e+03
1.240000000000000036e+01,3.900000000000000133e-01,3.950000000000000178e+00,1.473800000000000000e+04,5.660000000000000000e+02,1.030000000000000000e+02,3.882000000000000028e+01,2.257659313725490847e+03
1.190000000000000036e+01,4.600000000000000200e-01,2.899999999999999911e+00,1.031000000000000000e+04,4.950000000000000000e+02,1.020000000000000000e+02,3.528999999999999915e+01,1.594987623762376643e+03
1.190000000000000036e+01,1.199999999999999956e-01,3.830000000000000071e+00,1.103700000000000000e+04,5.250000000000000000e+02,1.020000000000000000e+02,5.338000000000000256e+01,1.707456683168317340e+03
1.300000000000000000e+01,1.600000000000000033e-01,4.000000000000000000e+00,1.259100000000000000e+04,4.700000000000000000e+02,1.020000000000000000e+02,5.788000000000000256e+01,1.947865099009901314e+03
1.180000000000000071e+01,3.599999999999999867e-01,2.970000000000000195e+00,1.278200000000000000e+04,5.360000000000000000e+02,1.030000000000000000e+02,4.110999999999999943e+01,1.958026960784313815e+03
1.269999999999999929e+01,2.000000000000000111e-01,2.029999999999999805e+00,1.517100000000000000e+04,5.080000000000000000e+02,1.040000000000000000e+02,7.164000000000000057e+01,2.301425970873786810e+03
1.290000000000000036e+01,3.699999999999999956e-01,3.080000000000000071e+00,9.778000000000000000e+03,4.650000000000000000e+02,1.030000000000000000e+02,3.087000000000000099e+01,1.497855392156862990e+03
1.300000000000000000e+01,1.600000000000000033e-01,2.500000000000000000e+00,1.220800000000000000e+04,5.400000000000000000e+02,1.040000000000000000e+02,5.796000000000000085e+01,1.851941747572815757e+03
1.230000000000000071e+01,3.900000000000000133e-01,3.649999999999999911e+00,1.641000000000000000e+04,5.640000000000000000e+02,1.010000000000000000e+02,5.504999999999999716e+01,2.564062500000000909e+03
1.250000000000000000e+01,1.900000000000000022e-01,4.500000000000000000e+00,1.521900000000000000e+04,5.110000000000000000e+02,9.900000000000000000e+01,7.210999999999999943e+01,2.426498724489796587e+03
1.230000000000000071e+01,2.899999999999999800e-01,3.629999999999999893e+00,1.425700000000000000e+04,5.300000000000000000e+02,1.010000000000000000e+02,6.793000000000000682e+01,2.227656250000000909e+03
1.259999999999999964e+01,8.999999999999999667e-02,4.429999999999999716e+00,1.310000000000000000e+04,5.690000000000000000e+02,1.030000000000000000e+02,6.271999999999999886e+01,2.006740196078431609e+03
1.180000000000000071e+01,1.799999999999999933e-01,4.000000000000000000e+00,1.485200000000000000e+04,4.980000000000000000e+02,1.020000000000000000e+02,5.145000000000000284e+01,2.297648514851485743e+03
1.230000000000000071e+01,1.300000000000000044e-01,5.839999999999999858e+00,1.307300000000000000e+04,4.960000000000000000e+02,1.000000000000000000e+02,4.052000000000000313e+01,2.063289141414141795e+03
1.350000000000000000e+01,5.999999999999999778e-02,2.390000000000000124e+00,1.409100000000000000e+04,6.170000000000000000e+02,1.010000000000000000e+02,5.300000000000000000e+01,2.201718750000000909e+03
1.290000000000000036e+01,4.600000000000000200e-01,2.049999999999999822e+00,1.947500000000000000e+04,6.550000000000000000e+02,1.000000000000000000e+02,5.385000000000000142e+01,3.073705808080808765e+03
1.269999999999999929e+01,4.299999999999999933e-01,3.629999999999999893e+00,1.400200000000000000e+04,5.430000000000000000e+02,1.010000000000000000e+02,5.728000000000000114e+01,2.187812500000000909e+03
1.190000000000000036e+01,2.300000000000000100e-01,2.540000000000000036e+00,1.141000000000000000e+04,5.070000000000000000e+02,1.010000000000000000e+02,4.017999999999999972e+01,1.782812500000000455e+03
1.300000000000000000e+01,3.499999999999999778e-01,2.720000000000000195e+00,1.308800000000000000e+04,4.900000000000000000e+02,1.930000000000000000e+02,3.117999999999999972e+01,1.065104166666666970e+03
1.309999999999999964e+01,2.999999999999999889e-01,2.979999999999999982e+00,1.747800000000000000e+04,5.980000000000000000e+02,1.930000000000000000e+02,5.402000000000000313e+01,1.422363281250000455e+03
1.319999999999999929e+01,4.400000000000000022e-01,3.220000000000000195e+00,1.572800000000000000e+04,6.660000000000000000e+02,1.930000000000000000e+02,3.144000000000000128e+01,1.279947916666667197e+03
1.430000000000000071e+01,8.999999999999999667e-02,3.779999999999999805e+00,1.635100000000000000e+04,5.950000000000000000e+02,1.930000000000000000e+02,4.911999999999999744e+01,1.330647786458333712e+03
1.409999999999999964e+01,2.700000000000000178e-01,2.580000000000000071e+00,1.725900000000000000e+04,5.700000000000000000e+02,1.940000000000000000e+02,3.178000000000000114e+01,1.397263601036270074e+03
1.400000000000000000e+01,1.600000000000000033e-01,4.290000000000000036e+00,1.473300000000000000e+04,5.550000000000000000e+02,1.930000000000000000e+02,5.282000000000000028e+01,1.198974609375000455e+03
1.419999999999999929e+01,1.799999999999999933e-01,3.080000000000000071e+00,1.604000000000000000e+04,6.840000000000000000e+02,1.930000000000000000e+02,5.500999999999999801e+01,1.305338541666667197e+03
1.509999999999999964e+01,1.700000000000000122e-01,3.689999999999999947e+00,1.646100000000000000e+04,6.280000000000000000e+02,1.930000000000000000e+02,5.089000000000000057e+01,1.339599609375000455e+03
1.469999999999999929e+01,1.900000000000000022e-01,2.850000000000000089e+00,1.876100000000000000e+04,6.440000000000000000e+02,1.920000000000000000e+02,5.717999999999999972e+01,1.534767670157068551e+03
1.240000000000000036e+01,3.300000000000000155e-01,2.669999999999999929e+00,1.733600000000000000e+04,6.050000000000000000e+02,1.930000000000000000e+02,3.607000000000000028e+01,1.410807291666667197e+03
1.459999999999999964e+01,2.700000000000000178e-01,3.140000000000000124e+00,1.574200000000000000e+04,6.440000000000000000e+02,1.930000000000000000e+02,4.910999999999999943e+01,1.281087239583333712e+03
1.540000000000000036e+01,2.399999999999999911e-01,3.330000000000000071e+00,1.941500000000000000e+04,6.820000000000000000e+02,1.930000000000000000e+02,6.484000000000000341e+01,1.579996744791667197e+03
1.530000000000000071e+01,1.900000000000000022e-01,2.399999999999999911e+00,1.587300000000000000e+04,6.170000000000000000e+02,1.930000000000000000e+02,3.135000000000000142e+01,1.291748046875000455e+03
1.340000000000000036e+01,5.000000000000000000e-01,2.370000000000000107e+00,1.398500000000000000e+04,5.960000000000000000e+02,1.930000000000000000e+02,2.042000000000000171e+01,1.138102213541667197e+03
1.530000000000000071e+01,4.500000000000000111e-01,2.790000000000000036e+00,1.593400000000000000e+04,6.160000000000000000e+02,1.920000000000000000e+02,3.503000000000000114e+01,1.303501308900524009e+03
1.530000000000000071e+01,2.200000000000000011e-01,4.110000000000000320e+00,1.496600000000000000e+04,6.430000000000000000e+02,1.930000000000000000e+02,4.961999999999999744e+01,1.217936197916667197e+03
1.480000000000000071e+01,2.999999999999999889e-01,3.040000000000000036e+00,1.372900000000000000e+04,5.620000000000000000e+02,1.930000000000000000e+02,3.014000000000000057e+01,1.117268880208333485e+03
1.430000000000000071e+01,1.400000000000000133e-01,3.709999999999999964e+00,1.596900000000000000e+04,5.910000000000000000e+02,1.930000000000000000e+02,4.346000000000000085e+01,1.299560546875000455e+03
1.450000000000000000e+01,2.800000000000000266e-01,5.419999999999999929e+00,1.226300000000000000e+04,5.450000000000000000e+02,1.930000000000000000e+02,2.394000000000000128e+01,9.979654947916668561e+02
1.469999999999999929e+01,1.900000000000000022e-01,3.410000000000000142e+00,2.165400000000000000e+04,7.160000000000000000e+02,1.930000000000000000e+02,7.548999999999999488e+01,1.762207031250000455e+03
